number,value,datetime_start,datetime_complete,duration,params_gene_max,params_gene_min,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,gene_min,gene_max,var,best_value,record_type
97.0,0.0001878265695216367,2024-04-26 00:46:03.482200,2024-04-26 00:46:04.148602,0 days 00:00:00.666402,480.0,-260.0,0.4,260.0,370.0,2.0,COMPLETE,,,,,,,,
98.0,1.0990378187611664e-05,2024-04-26 00:46:04.149602,2024-04-26 00:46:06.823604,0 days 00:00:02.674002,380.0,-300.0,0.2,980.0,430.0,2.0,COMPLETE,,,,,,,,
99.0,2.7409381958401822e-05,2024-04-26 00:46:06.824604,2024-04-26 00:46:09.503709,0 days 00:00:02.679105,380.0,-320.0,0.1,980.0,450.0,2.0,COMPLETE,,,,,,,,
100.0,0.0006883377733595641,2024-04-26 00:46:09.504709,2024-04-26 00:46:12.365980,0 days 00:00:02.861271,500.0,-340.0,0.1,980.0,470.0,2.0,COMPLETE,,,,,,,,
101.0,3.6763375423294096e-05,2024-04-26 00:46:12.367958,2024-04-26 00:46:14.921053,0 days 00:00:02.553095,380.0,-300.0,0.1,980.0,430.0,2.0,COMPLETE,,,,,,,,
102.0,0.002045826679275554,2024-04-26 00:46:14.922071,2024-04-26 00:46:17.521938,0 days 00:00:02.599867,380.0,-300.0,0.1,980.0,430.0,2.0,COMPLETE,,,,,,,,
103.0,0.00018908721044089358,2024-04-26 00:46:17.523940,2024-04-26 00:46:20.094364,0 days 00:00:02.570424,360.0,-320.0,0.1,940.0,450.0,2.0,COMPLETE,,,,,,,,
104.0,1.3380610694632722e-05,2024-04-26 00:46:20.096398,2024-04-26 00:46:23.067382,0 days 00:00:02.970984,320.0,-300.0,0.1,980.0,490.0,2.0,COMPLETE,,,,,,,,
105.0,0.0004541239427492792,2024-04-26 00:46:23.068383,2024-04-26 00:46:26.003939,0 days 00:00:02.935556,320.0,-300.0,0.1,980.0,490.0,2.0,COMPLETE,,,,,,,,
106.0,0.00041620178202219987,2024-04-26 00:46:26.005917,2024-04-26 00:46:28.899736,0 days 00:00:02.893819,400.0,-380.0,0.1,940.0,490.0,2.0,COMPLETE,,,,,,,,
107.0,0.0012948466753754597,2024-04-26 00:46:28.900756,2024-04-26 00:46:31.708746,0 days 00:00:02.807990,300.0,-320.0,0.1,980.0,470.0,2.0,COMPLETE,,,,,,,,
108.0,0.00025083334346755854,2024-04-26 00:46:31.709748,2024-04-26 00:46:34.443406,0 days 00:00:02.733658,340.0,-280.0,0.1,940.0,470.0,2.0,COMPLETE,,,,,,,,
109.0,0.0005797421342621971,2024-04-26 00:46:34.444407,2024-04-26 00:46:37.127420,0 days 00:00:02.683013,320.0,-300.0,0.1,980.0,450.0,2.0,COMPLETE,,,,,,,,
110.0,0.0008468335241335606,2024-04-26 00:46:37.128419,2024-04-26 00:46:39.626278,0 days 00:00:02.497859,380.0,-340.0,0.2,900.0,430.0,1.0,COMPLETE,,,,,,,,
111.0,0.006379575619001538,2024-04-26 00:46:39.628278,2024-04-26 00:46:40.816521,0 days 00:00:01.188243,360.0,-320.0,0.1,940.0,210.0,2.0,COMPLETE,,,,,,,,
112.0,0.0014597245043186024,2024-04-26 00:46:40.817522,2024-04-26 00:46:43.513347,0 days 00:00:02.695825,220.0,-360.0,0.2,860.0,490.0,2.0,COMPLETE,,,,,,,,
113.0,0.0012238413378388435,2024-04-26 00:46:43.515350,2024-04-26 00:46:46.146879,0 days 00:00:02.631529,400.0,-300.0,0.2,980.0,430.0,2.0,COMPLETE,,,,,,,,
114.0,0.0016609268286629435,2024-04-26 00:46:46.147898,2024-04-26 00:46:49.114684,0 days 00:00:02.966786,420.0,-240.0,0.7000000000000001,900.0,450.0,2.0,COMPLETE,,,,,,,,
115.0,0.0010967497062492769,2024-04-26 00:46:49.115682,2024-04-26 00:46:51.156240,0 days 00:00:02.040558,280.0,-360.0,0.1,820.0,410.0,2.0,COMPLETE,,,,,,,,
116.0,0.0005793378371703244,2024-04-26 00:46:51.158244,2024-04-26 00:46:54.046000,0 days 00:00:02.887756,40.0,-280.0,0.2,940.0,470.0,2.0,COMPLETE,,,,,,,,
117.0,0.00022778512792464528,2024-04-26 00:46:54.048002,2024-04-26 00:46:56.296861,0 days 00:00:02.248859,380.0,-320.0,0.1,860.0,430.0,2.0,COMPLETE,,,,,,,,
118.0,0.0030547090760608786,2024-04-26 00:46:56.297860,2024-04-26 00:46:59.137933,0 days 00:00:02.840073,360.0,-260.0,0.5,900.0,450.0,2.0,COMPLETE,,,,,,,,
119.0,0.0030096288352601756,2024-04-26 00:46:59.138934,2024-04-26 00:47:02.226199,0 days 00:00:03.087265,420.0,-340.0,1.0,980.0,410.0,2.0,COMPLETE,,,,,,,,
120.0,0.0017931360777219507,2024-04-26 00:47:02.227200,2024-04-26 00:47:04.123691,0 days 00:00:01.896491,500.0,-160.0,0.30000000000000004,740.0,390.0,2.0,COMPLETE,,,,,,,,
121.0,0.00023306578440144513,2024-04-26 00:47:04.124693,2024-04-26 00:47:05.625596,0 days 00:00:01.500903,380.0,-140.0,0.2,580.0,410.0,2.0,COMPLETE,,,,,,,,
122.0,0.004586918728556641,2024-04-26 00:47:05.626576,2024-04-26 00:47:07.611506,0 days 00:00:01.984930,340.0,-280.0,0.1,820.0,390.0,2.0,COMPLETE,,,,,,,,
123.0,2.1549765873433056e-05,2024-04-26 00:47:07.612507,2024-04-26 00:47:10.640185,0 days 00:00:03.027678,400.0,-100.0,0.2,980.0,490.0,2.0,COMPLETE,,,,,,,,
124.0,0.0015639142486884234,2024-04-26 00:47:10.642214,2024-04-26 00:47:13.525308,0 days 00:00:02.883094,440.0,-120.0,0.1,940.0,490.0,2.0,COMPLETE,,,,,,,,
125.0,0.00013596993506075165,2024-04-26 00:47:13.526315,2024-04-26 00:47:16.458547,0 days 00:00:02.932232,400.0,-140.0,0.2,980.0,470.0,2.0,COMPLETE,,,,,,,,
126.0,0.0008413297566540908,2024-04-26 00:47:16.459546,2024-04-26 00:47:19.414320,0 days 00:00:02.954774,400.0,-180.0,0.2,980.0,470.0,2.0,COMPLETE,,,,,,,,
127.0,0.0002676148439925814,2024-04-26 00:47:19.415350,2024-04-26 00:47:22.466170,0 days 00:00:03.050820,400.0,-100.0,0.2,980.0,490.0,2.0,COMPLETE,,,,,,,,
128.0,0.0002721449273121082,2024-04-26 00:47:22.467188,2024-04-26 00:47:25.079177,0 days 00:00:02.611989,380.0,-440.0,0.1,940.0,450.0,2.0,COMPLETE,,,,,,,,
129.0,0.0005019103758855271,2024-04-26 00:47:25.081170,2024-04-26 00:47:28.110814,0 days 00:00:03.029644,420.0,-160.0,0.2,980.0,490.0,2.0,COMPLETE,,,,,,,,
130.0,0.004278092421108531,2024-04-26 00:47:28.111814,2024-04-26 00:47:30.425021,0 days 00:00:02.313207,360.0,-200.0,0.1,780.0,470.0,2.0,COMPLETE,,,,,,,,
131.0,0.0017063334910221019,2024-04-26 00:47:30.427031,2024-04-26 00:47:33.218794,0 days 00:00:02.791763,440.0,-140.0,0.30000000000000004,900.0,470.0,2.0,COMPLETE,,,,,,,,
132.0,0.0016637489306255053,2024-04-26 00:47:33.220799,2024-04-26 00:47:36.093214,0 days 00:00:02.872415,420.0,-100.0,0.30000000000000004,940.0,450.0,2.0,COMPLETE,,,,,,,,
