number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
130.0,-986.9890137798402,2024-04-25 22:51:37.406646,2024-04-25 22:51:40.190520,0 days 00:00:02.783874,0.2,540.0,420.0,2.0,COMPLETE,,,,,,
131.0,-989.5644084373134,2024-04-25 22:51:40.191520,2024-04-25 22:51:43.183516,0 days 00:00:02.991996,0.6,520.0,450.0,2.0,COMPLETE,,,,,,
132.0,-967.8549955546521,2024-04-25 22:51:43.184515,2024-04-25 22:51:45.537711,0 days 00:00:02.353196,0.6,520.0,350.0,2.0,COMPLETE,,,,,,
133.0,-982.5345579303872,2024-04-25 22:51:45.538715,2024-04-25 22:51:49.040593,0 days 00:00:03.501878,0.6,500.0,540.0,2.0,COMPLETE,,,,,,
134.0,-984.0289183208126,2024-04-25 22:51:49.041595,2024-04-25 22:51:52.564195,0 days 00:00:03.522600,0.6,540.0,500.0,2.0,COMPLETE,,,,,,
135.0,-989.1375655965523,2024-04-25 22:51:52.565197,2024-04-25 22:51:56.142422,0 days 00:00:03.577225,0.7000000000000001,600.0,460.0,2.0,COMPLETE,,,,,,
136.0,-985.7000962305365,2024-04-25 22:51:56.144401,2024-04-25 22:51:58.717162,0 days 00:00:02.572761,0.6,460.0,430.0,2.0,COMPLETE,,,,,,
137.0,-985.8633738678859,2024-04-25 22:51:58.718186,2024-04-25 22:52:01.166267,0 days 00:00:02.448081,0.5,520.0,380.0,2.0,COMPLETE,,,,,,
138.0,-971.0055702626996,2024-04-25 22:52:01.168243,2024-04-25 22:52:04.403310,0 days 00:00:03.235067,0.7000000000000001,560.0,450.0,2.0,COMPLETE,,,,,,
139.0,-983.7748457198289,2024-04-25 22:52:04.404290,2024-04-25 22:52:08.772146,0 days 00:00:04.367856,0.5,580.0,590.0,2.0,COMPLETE,,,,,,
140.0,-988.9941978589027,2024-04-25 22:52:08.774356,2024-04-25 22:52:11.915742,0 days 00:00:03.141386,0.6,420.0,570.0,1.0,COMPLETE,,,,,,
141.0,-989.7221767479043,2024-04-25 22:52:11.916717,2024-04-25 22:52:16.911737,0 days 00:00:04.995020,1.0,700.0,520.0,2.0,COMPLETE,,,,,,
142.0,-988.7101931696958,2024-04-25 22:52:16.913738,2024-04-25 22:52:21.288259,0 days 00:00:04.374521,0.5,680.0,510.0,2.0,COMPLETE,,,,,,
143.0,-987.7762905462913,2024-04-25 22:52:21.289239,2024-04-25 22:52:25.871432,0 days 00:00:04.582193,1.0,620.0,550.0,2.0,COMPLETE,,,,,,
144.0,-989.5112682678788,2024-04-25 22:52:25.873432,2024-04-25 22:52:30.954438,0 days 00:00:05.081006,0.6,760.0,520.0,2.0,COMPLETE,,,,,,
145.0,-987.6255326239038,2024-04-25 22:52:30.955552,2024-04-25 22:52:34.905607,0 days 00:00:03.950055,0.8,480.0,610.0,2.0,COMPLETE,,,,,,
146.0,-989.6012020711439,2024-04-25 22:52:34.906609,2024-04-25 22:52:39.272239,0 days 00:00:04.365630,0.7000000000000001,700.0,480.0,2.0,COMPLETE,,,,,,
147.0,-989.649886974827,2024-04-25 22:52:39.273238,2024-04-25 22:52:43.414829,0 days 00:00:04.141591,0.7000000000000001,680.0,470.0,2.0,COMPLETE,,,,,,
148.0,-983.2464010012774,2024-04-25 22:52:43.415806,2024-04-25 22:52:47.420208,0 days 00:00:04.004402,0.7000000000000001,700.0,440.0,2.0,COMPLETE,,,,,,
149.0,-988.7891052328944,2024-04-25 22:52:47.421231,2024-04-25 22:52:50.893357,0 days 00:00:03.472126,0.7000000000000001,660.0,410.0,2.0,COMPLETE,,,,,,
150.0,-984.3476771524263,2024-04-25 22:52:50.894338,2024-04-25 22:52:55.114939,0 days 00:00:04.220601,0.7000000000000001,680.0,470.0,2.0,COMPLETE,,,,,,
151.0,-988.5526900194914,2024-04-25 22:52:55.115940,2024-04-25 22:52:59.035521,0 days 00:00:03.919581,0.7000000000000001,740.0,410.0,2.0,COMPLETE,,,,,,
152.0,-988.7996872659078,2024-04-25 22:52:59.037544,2024-04-25 22:53:03.626954,0 days 00:00:04.589410,0.7000000000000001,720.0,490.0,2.0,COMPLETE,,,,,,
